"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT05304741","The Culture of Advanced/Recurrent/Metastatic Colorectal Cancer Organoids and Drug Screening",,"Recruiting","No Results Available","Colorectal Cancer",,"Progression-free Survival|Overall Survival|Diagnostic Indicators","Chongqing University Cancer Hospital","All","18 Years to 70 Years   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CQGOG0501","January 1, 2020","December 31, 2023","December 31, 2023","March 31, 2022",,"March 31, 2022","Chongqing University Cancer Hospital, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT05304741"
12,"NCT05404321","Establishment of an ex Vivo Tumor Collection of Triple-negative Breast Cancers in Order to Validate the Interest of Innovative Therapies and the Search for Predictive Biomarkers of Response to Treatment","TRIPLEX","Recruiting","No Results Available","Triple Negative Breast Cancer|Organoid","Other: Establishment of ex vivo breast cancer organoid models","Rate of establishment of exploitable organoids tumor","Centre Francois Baclesse","Female","18 Years and older   (Adult, Older Adult)",,"163","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2021-A02676-35","January 9, 2023","June 2026","December 2026","June 3, 2022",,"February 10, 2023","Centre François Baclesse, Caen, France",,"https://ClinicalTrials.gov/show/NCT05404321"
13,"NCT04931381","Organoid-Guided Chemotherapy for Advanced Pancreatic Cancer",,"Recruiting","No Results Available","Advanced Pancreatic Cancer","Other: Chemotherapy guided by organoid drug sensitivity test","6-month disease control rate|Progression free time|Overall survival time|The successful establishment rate of organoids|Concordance between drug sensitivity test results and patients' treatment response (descriptive statistics).|Concordance between radiosensitivity test results and patients' treatment response (descriptive statistics).","Changhai Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ChanghaiH-PP09","June 1, 2021","May 31, 2024","May 31, 2025","June 18, 2021",,"August 2, 2022","Changhai Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04931381"
14,"NCT05007379","Cohort Study to Determine the Antitumor Activity of New CAR-macrophages in Breast Cancer Patients' Derived Organoids","CARMA","Not yet recruiting","No Results Available","Breast Cancer",,"Antitumor activity of the CAR-macrophages against organoids from HER2 negative, HER2 low and HER2 positive breast cancers|Antitumor activity of the CAR-macrophages compared to non-modified macrophages|Antitumor activity of the CAR-macrophages against organoids from early and advanced breast cancers patients","Centre Oscar Lambret|Institut National de la Santé Et de la Recherche Médicale, France","All","18 Years to 100 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CARMA-2101","September 1, 2021","September 1, 2023","September 1, 2023","August 16, 2021",,"August 16, 2021",,,"https://ClinicalTrials.gov/show/NCT05007379"
15,"NCT03952793","Organoids From Metastases of Prostate Cancer","OrMePro","Terminated","No Results Available","Prostatic Neoplasm","Other: extended biopsy","Success rate of establishment of the organoid culture|Drugs testing on organoid for cell viability|Cell Apoptosis Molecular and cellular mechanisms of drugs responses|Cell proliferation Molecular and cellular on mechanisms of drugs responses","Centre Antoine Lacassagne|Centre Méditerranéen de Médecine Moléculaire UMR_S-1065","Male","18 Years and older   (Adult, Older Adult)","Not Applicable","1","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2018/63","December 4, 2019","October 25, 2021","October 25, 2021","May 16, 2019",,"November 1, 2021","Centre Antoine Lacassagne, Nice, France",,"https://ClinicalTrials.gov/show/NCT03952793"
16,"NCT05175326","Study on the Consistency Evaluation of Organoids Used in the Clinical Treatment of Ovarian Cancer With Anti-tumor Drugs",,"Recruiting","No Results Available","Ovarian Cancer|Organoid",,"Prediction of the response to treatment by the patient-derived organoids","Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University","All","18 Years to 75 Years   (Adult, Older Adult)",,"64","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SYSEC-KY-KS-2021-294","November 1, 2021","June 1, 2022","November 1, 2022","January 3, 2022",,"January 3, 2022","The Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT05175326"
17,"NCT04371198","Patient-Derived Organoids for Rectal Cancer",,"Completed","No Results Available","Rectum Cancer","Other: Biopsy","fraction of biopsies that form spherical organoids.","Duke University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","Pro00104561","September 18, 2020","August 18, 2022","August 18, 2022","May 1, 2020",,"August 22, 2022","Duke Cancer Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04371198"
18,"NCT03544255","Drug Screening of Pancreatic Cancer Organoids Developed From EUS-FNA Guided Biopsy Tissues",,"Unknown status","No Results Available","Pancreatic Cancer|Pancreas Adenocarcinoma","Procedure: Biopsy","Number of organoids successfully generated from pancreatic cancer biopsies|Response of the pancreatic cancer organoids to the selected anti-cancer drugs","Ying Lv|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","EFOP-01","May 1, 2018","December 1, 2020","June 1, 2021","June 1, 2018",,"January 7, 2020","Nanjing Drum Tower Hospital the Affiliated Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT03544255"
19,"NCT04777604","Development of a Prediction Platform for Neoadjuvant Treatment and Prognosis in Pancreatic Cancer Using Organoid",,"Not yet recruiting","No Results Available","Pancreas Cancer","Other: Organoid","Overall survival rate","Samsung Medical Center","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-12-106","March 1, 2021","January 7, 2025","January 7, 2026","March 2, 2021",,"March 2, 2021","Samsung Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04777604"
20,"NCT05203549","Consistency Between Treatment Responses in PDO Models and Clinical Outcomes in Gastric Cancer",,"Recruiting","No Results Available","Gastric Cancer","Procedure: Tumor biopsy","Establishment of patient-derived organoids|Correlation between results of the drug sensitivity tests in patient-derived organoid models and clinical outcomes","D1 Medical Technology (Shanghai) Co., Ltd, China|Shanghai Zhongshan Hospital","All","18 Years to 70 Years   (Adult, Older Adult)",,"250","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","D1med-GC1001","May 1, 2021","January 31, 2023","June 30, 2023","January 24, 2022",,"January 24, 2022","Zhongshan Hospital Fudan University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT05203549"
21,"NCT04736043","Development of a Prediction Platform for Adjuvant Treatment and Prognosis in Resected Pancreatic Cancer Using Organoid",,"Recruiting","No Results Available","Pancreatic Cancer Resectable","Other: Organoid","Overall survival rate","Samsung Medical Center","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-12-106-001","January 31, 2021","January 7, 2025","January 7, 2026","February 3, 2021",,"February 3, 2021","Samsung Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04736043"
22,"NCT04996355","Organoids-on-a-chip for Colorectal Cancer and in Vitro Screening of Chemotherapeutic Drugs",,"Recruiting","No Results Available","Colorectal Neoplasms|Organoids","Other: comprehensive treatment after MDT discussion","The accuracy, specificity and sensitivity of organoids-on-chip for drug sreening","Peking University People's Hospital|Peking University","All","18 Years to 75 Years   (Adult, Older Adult)",,"52","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2021PHB148-001","May 31, 2021","May 30, 2022","May 30, 2024","August 9, 2021",,"August 18, 2021","Peking University People's Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04996355"
23,"NCT03990675","Evaluation and Comparison of the Growth Rate of Pancreatic Cancer Patient-derived Organoids",,"Unknown status","No Results Available","Pancreas Cancer","Procedure: FNA, FNB","Growth rate","Technical University of Munich","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","Pancreatic cancer organoids","December 1, 2018","August 1, 2021","August 1, 2022","June 19, 2019",,"June 19, 2019","2nd Medical Department, Klinikum rechts der Isar, Munich, Germany",,"https://ClinicalTrials.gov/show/NCT03990675"
24,"NCT04342286","To Establish a Reproducible Organoid Culture Model With Human Kidney Cancer",,"Completed","No Results Available","Kidney Cancer","Genetic: Organoid culture","To establish a sustainable human kidney tumor 3D Matrigel culture system with a stable phenotype|The identicality of histopathological detail and genomic information of the kidney cancer organoid compared with the original primary tissue|The tumorigenicity ability of the kidney cancer organoid in nude mice","Chinese University of Hong Kong","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","CRE-2019.211","May 1, 2020","February 22, 2021","February 22, 2021","April 13, 2020",,"December 16, 2021","Prince of Wales Hospital, Shatin, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04342286"
25,"NCT05401318","Tailoring Treatment in Colorectal Cancer","TargetCRC","Recruiting","No Results Available","Colorectal Neoplasms","Procedure: Tumor tissue sampling for organoid development","Clinical logistics pipeline for patient-derived organoid development success rate|Sensitivity report for chemotherapy and cellular immunotherapy by clinical evaluation|Induction of immunotherapy efficacy by chemotherapy in colorectal cancer, measured by advanced imaging analysis","University Hospital, Akershus|Oncosyne AS|Oslo University Hospital","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","350208 (REK)","March 28, 2022","March 28, 2025","January 1, 2027","June 2, 2022",,"June 2, 2022","Akershus University Hospital, Lørenskog, Viken, Norway",,"https://ClinicalTrials.gov/show/NCT05401318"
26,"NCT04755907","3D Bioprinted Models for Predicting Chemotherapy Response in Colorectal Cancer With/Without Liver Metastases",,"Recruiting","No Results Available","Colorectal Cancer|Colorectal Cancer Liver Metastasis","Procedure: surgical resection|Other: adjuvant chemotherapy|Other: neoadjuvant therapy","Response of 3D tumor models/organoids to the same chemotherapy drugs as the corresponding patients.|Response of the colorectal cancer patients to neoadjuvant chemotherapy.","Peking Union Medical College Hospital|Peking University Cancer Hospital & Institute|Cancer Institute and Hospital, Chinese Academy of Medical Sciences|China-Japan Friendship Hospital","All","18 Years and older   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CRC-3D-Bioprint","March 1, 2021","December 31, 2022","December 31, 2023","February 16, 2021",,"July 19, 2022","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China|China-Japan Friendship Hospital, Beijing, Beijing, China|Beijing Cancer Hospital, Beijing, Beijing, China|Peking Union Medical College Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04755907"
27,"NCT03979170","Patient-derived Organoids of Lung Cancer to Test Drug Response",,"Recruiting","No Results Available","Lung Cancer|Organoid","Procedure: Lung tumor resection","Patient-derived organoid establishment|Patient-derived organoid validation|Drug sensitivity|Prediction of the response to treatment by the patient-derived organoids","University Hospital, Geneva","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018-02395","April 1, 2019","December 30, 2021","December 30, 2024","June 7, 2019",,"June 7, 2019","Geneva University Hospitals, Geneva, Switzerland",,"https://ClinicalTrials.gov/show/NCT03979170"
28,"NCT05267912","Prospective Multicenter Study Evaluating Feasibility and Efficacy of Tumor Organoid-based Precision Medicine in Patients With Advanced Refractory Cancers","ORGANOTREAT","Recruiting","No Results Available","Advanced, Pretreated Solid Tumors","Procedure: Biopsy","ORGANOTREAT-01: Chemogram|ORGANOTREAT-02A: GMI|ORGANOTREAT-02B: PFS|ORGANOTREAT-02A and -02B: chemogram|ORGANOTREAT-01 and -02A: PFS|ORGANOTREAT-01 and -02B: GMI|ORGANOTREAT-01 and -02B: ORR|ORGANOTREAT-01 and -02B: duration of response|ORGANOTREAT-01 and -02B: DCR|ORGANOTREAT-01 and -02B: duration of disease control|ORGANOTREAT-01 and -02B: clinical benefit|ORGANOTREAT-01 and -02B: OS|ORGANOTREAT-01 and -02B: Number of chemogram-oriented treatment lines","Gustave Roussy, Cancer Campus, Grand Paris","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1919","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","2021-A00939-32","January 19, 2022","January 2026","January 2027","March 7, 2022",,"March 7, 2022","Gustave Roussy, Villejuif, France",,"https://ClinicalTrials.gov/show/NCT05267912"
29,"NCT04906733","Cetuximab Sensitivity Correlation Between Patient-Derived Organoids and Clinical Response in Colon Cancer Patients.",,"Recruiting","No Results Available","Colon Cancer|Organoids|Metastatic Cancer","Procedure: Tumor biopsy","Correlation of ex vivo sensitivity test on patient-derived organoid models with clinical outcomes","D1 Medical Technology (Shanghai) Co., Ltd, China|Fudan University","All","18 Years to 70 Years   (Adult, Older Adult)",,"80","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","D1med-ZL01","April 15, 2021","June 2023","December 2023","May 28, 2021",,"August 13, 2021","Fudan University Shanghai Cancer Center, Shanghai, Shanghai, China","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/33/NCT04906733/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04906733"
30,"NCT05442138","A Study on the Potential Benefit of Neoadjuvant Therapy for AGC Patients",,"Not yet recruiting","No Results Available","Early Gastric Cancer|Tumor Organoids",,"Objective Response Rate|Tumor Regression Grading","Henan Cancer Hospital","All","18 Years to 75 Years   (Adult, Older Adult)",,"54","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","OneTar","August 2022","May 2023","June 2024","July 1, 2022",,"July 29, 2022",,,"https://ClinicalTrials.gov/show/NCT05442138"
31,"NCT05384184","Next Generation "" Pre-clinical Model for Colorectal Cancer Metastases and Hepatocellular Carcinomas (BORG)","BORG","Recruiting","No Results Available","Colorectal Cancer Metastases and Hepatocellular Carcinomas","Procedure: Tumor /metastases removal","Build the next generation biobank of liver-derived organoids|Biobank of liver-derived organoids efficiency|Evaluate the clinical relevance of the generated organoids","Assistance Publique Hopitaux De Marseille","All","18 Years and older   (Adult, Older Adult)",,"48","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","RCAPHM19_0407","June 6, 2019","December 2022","December 2023","May 20, 2022",,"May 20, 2022","ap-HM hopital nord, Marseille, France",,"https://ClinicalTrials.gov/show/NCT05384184"
32,"NCT05024734","Guiding Instillation in Non Muscle-invasive Bladder Cancer Based on Drug Screens in Patient Derived Organoids",,"Recruiting","No Results Available","Bladder Cancer|Non-muscle Invasive","Drug: Epirubicin|Drug: Mitomycin|Drug: Gemcitabine|Drug: Docetaxel","Number of patients with successful drug selection|Side effects|Recurrence rate|QoL","University Hospital Inselspital, Berne|University of Bern|Hospital Centre Biel/Bienne","All","18 Years and older   (Adult, Older Adult)","Phase 2","33","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SZB-URO-21-001","November 17, 2022","November 16, 2024","November 16, 2026","August 27, 2021",,"November 22, 2022","Roland Seiler, Biel, Switzerland",,"https://ClinicalTrials.gov/show/NCT05024734"
33,"NCT04555473","Translational Analysis In Longitudinal Series of Ovarian Cancer ORganoids","TAILOR","Recruiting","No Results Available","Organoids|Epithelial Ovarian Cancer","Procedure: Tumor biopsy","Reliability (yes/no) of HGSOC organoids obtained from PDS+adjuvant chemotherapy and NACT+IDS cases as a model for the patient's response to treatments|The genomic and phenotypic evolution of tumor cells in HGSOC organoids from PDS+ adjuvant chemotherapy and NACT+IDS patients undergoing relapse|Splicing dysregulation and splicing-targeting technologies as new potential therapeutic treatments to increase vulnerability of MYC-overexpressing HGSOCs","Fondazione Policlinico Universitario Agostino Gemelli IRCCS","Female","18 Years to 75 Years   (Adult, Older Adult)",,"48","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","TAILOR","May 12, 2020","November 4, 2021","May 4, 2023","September 18, 2020",,"September 18, 2020","Fondazione Policlinico Universitario ""A. Gemelli"" IRCCS, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT04555473"
34,"NCT02436564","In Vitro Models of Liver and Pancreatic Cancer",,"Unknown status","No Results Available","Cholangiocarcinoma|Hepatocellular Carcinoma|Pancreatic Neoplasm","Genetic: Organoid in vitro culture","Number of tumour-derived organoids successfully cultured in vitro for a minimum of 3 months.|Proportion of tumour-derived organoids that are genetically identical to the source tumour.","Cambridge University Hospitals NHS Foundation Trust|The Gurdon Institute|Ann McLaren Laboratory of Regenerative Medicine","All","18 Years to 90 Years   (Adult, Older Adult)",,"75","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","A093484","July 2015","September 2018",,"May 7, 2015",,"July 14, 2016","Addenbrooke's Hospital, Cambridge, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02436564"
35,"NCT05378048","Patient-derived-organoid (PDO) Guided Versus Conventional Therapy for Advanced Inoperable Abdominal Tumors",,"Not yet recruiting","No Results Available","Organoids","Drug: PDO-guided treatment|Drug: standard of care","Tumor progression-free survival|the rate of overall survival|tumour response rates|rate of successful organoid culture and drug screen organoid culture|rate of serious adverse events","Chinese University of Hong Kong","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PDO","July 4, 2022","July 3, 2025","July 3, 2025","May 17, 2022",,"May 17, 2022","Department of surgery , Prince of Wales Hospital, Hong Kong, N.t., Hong Kong",,"https://ClinicalTrials.gov/show/NCT05378048"
36,"NCT05669586","Organoids Predict Therapeutic Response in Patients With Multi-line Drug-resistant Non-small Cell Lung Cancer",,"Recruiting","No Results Available","Lung Cancer|Organoid|NSCLC","Drug: Antitumor therapy guided by organoid drug sensitivity test","Progression-free survival|Overall survival|Disease control rate|Changes in tumor volume shrinking|Prediction of the response to treatment by the patient-derived organoids|The rate of successful generation of lung cancer organoids","Affiliated Hospital of Jiangnan University","All","18 Years and older   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","136286","February 1, 2023","May 31, 2024","May 31, 2026","January 3, 2023",,"February 3, 2023","Affiliated Hospital of Jiangnan University, Wuxi, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT05669586"
37,"NCT04611035","Q-GAIN (Using Qpop to Predict Treatment for GAstroIntestinal caNcer)",,"Recruiting","No Results Available","Gastrointestinal Cancer","Device: QPOP","Rates of radiological response|Percentage of patients with successful organoid generation for each different tumour type.|Efficacy of second-line therapy|Haematologic and non-haematologic toxicities","National University Hospital, Singapore","Female","21 Years to 99 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","2019/00924","January 20, 2020","January 2023","January 2023","November 2, 2020",,"April 6, 2022","National University Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04611035"
