"type","main_country","country_total_ToC","country_total_tumor_organoid","country_percentage_ToC","country_percentage_tumor_organoid"
"Review","Germany",2,35,0.0105820105820106,0.0558213716108453
"Review","Italy",7,34,0.037037037037037,0.0542264752791069
"Review","Japan",1,30,0.00529100529100529,0.0478468899521531
"Review","UK",3,29,0.0158730158730159,0.0462519936204147
"Review","France",8,22,0.0423280423280423,0.0350877192982456
"Review","Australia",2,17,0.0105820105820106,0.0271132376395534
"Review","India",7,15,0.037037037037037,0.0239234449760766
"Review","South Korea",5,14,0.0264550264550265,0.0223285486443381
"Review","Spain",5,14,0.0264550264550265,0.0223285486443381
"Review","Switzerland",4,13,0.0211640211640212,0.0207336523125997
"Review","Portugal",19,9,0.100529100529101,0.0143540669856459
"Review","Singapore",1,9,0.00529100529100529,0.0143540669856459
"Review","Taiwan",3,9,0.0158730158730159,0.0143540669856459
"Review","undetermined",2,9,0.0105820105820106,0.0143540669856459
"Review","Denmark",NA,8,NA,0.0127591706539075
"Review","Sweden",NA,7,NA,0.0111642743221691
"Review","Brazil",1,6,0.00529100529100529,0.00956937799043062
"Review","Canada",8,6,0.0423280423280423,0.00956937799043062
"Review","Iran",4,6,0.0211640211640212,0.00956937799043062
"Review","Austria",1,5,0.00529100529100529,0.00797448165869218
"Review","Ireland",1,5,0.00529100529100529,0.00797448165869218
"Review","Greece",NA,4,NA,0.00637958532695375
"Review","Russia",NA,4,NA,0.00637958532695375
"Review","South Africa",NA,4,NA,0.00637958532695375
"Review","Belgium",1,3,0.00529100529100529,0.00478468899521531
"Review","Finland",1,3,0.00529100529100529,0.00478468899521531
"Review","Turkey",3,3,0.0158730158730159,0.00478468899521531
"Review","Lebanon",1,2,0.00529100529100529,0.00318979266347687
"Review","Mexico",2,2,0.0105820105820106,0.00318979266347687
"Review","Poland",1,2,0.00529100529100529,0.00318979266347687
"Review","Romania",2,2,0.0105820105820106,0.00318979266347687
"Review","Czech Republic",NA,2,NA,0.00318979266347687
"Review","New Zealand",NA,2,NA,0.00318979266347687
"Review","Thailand",NA,2,NA,0.00318979266347687
"Review","Chile",NA,1,NA,0.00159489633173844
"Review","Colombia",NA,1,NA,0.00159489633173844
"Review","Croatia",NA,1,NA,0.00159489633173844
"Review","Hungary",NA,1,NA,0.00159489633173844
"Review","Indonesia",NA,1,NA,0.00159489633173844
"Review","Iraq",NA,1,NA,0.00159489633173844
"Review","Israel",NA,1,NA,0.00159489633173844
"Review","Luxembourg",NA,1,NA,0.00159489633173844
"Review","Pakistan",NA,1,NA,0.00159489633173844
"Review","Slovenia",NA,1,NA,0.00159489633173844
"Review","United Arab Emirates",NA,1,NA,0.00159489633173844
"Review","Vietnam",NA,1,NA,0.00159489633173844
"Review","Malaysia",1,NA,0.00529100529100529,NA
"Review","Nepal",1,NA,0.00529100529100529,NA
"Review","Saudi Arabia",1,NA,0.00529100529100529,NA
