"type","country","tumor_organoid","ToC"
"Review","Ethiopia",NA,NA
"Review","Georgia",NA,NA
"Review","Ghana",NA,NA
"Review","Iceland",NA,NA
"Review","Jordan",NA,NA
"Review","Kazakhstan",NA,NA
"Review","Kuwait",NA,NA
"Review","Latvia",NA,NA
"Review","Libya",NA,0.00798326707221663
"Review","Lithuania",NA,NA
"Review","Malawi",NA,NA
"Review","Mauritius",NA,NA
"Review","Mongolia",NA,NA
"Review","Morocco",NA,NA
"Review","Mozambique",NA,NA
"Review","Namibia",NA,NA
"Review","Nigeria",NA,NA
"Review","Oman",NA,NA
"Review","Palestine",NA,NA
"Review","Peru",NA,NA
"Review","Philippines",NA,NA
"Review","Qatar",NA,NA
"Review","Senegal",NA,NA
"Review","Serbia",NA,NA
"Review","Sierra Leone",NA,NA
"Review","Slovakia",NA,0.00733672351098904
"Review","Sri Lanka",NA,NA
"Review","Sudan",NA,NA
"Review","Tunisia",NA,NA
"Review","Uganda",NA,NA
"Review","Ukraine",NA,NA
"Review","Uruguay",NA,NA
"Review","Uzbekistan",NA,NA
"Review","Venezuela",NA,NA
"Review","Zimbabwe",NA,NA
