ID,text_all,researched_tumor,tumor_organ,NT_organ,tumor_organ_adjusted
2353,"Personalized chordoma organoids for drug discovery studies.; NA; Chordomas are rare tumors of notochordal origin, most commonly arising in the sacrum or skull base. Chordomas are considered insensitive to conventional chemotherapy, and their rarity complicates running timely and adequately powered trials to identify effective treatments. Therefore, there is a need for discovery of novel therapeutic approaches. Patient-derived organoids can accelerate drug discovery and development studies and predict patient responses to therapy. In this proof-of-concept study, we successfully established organoids from seven chordoma tumor samples obtained from five patients presenting with tumors in different sites and stages of disease. The organoids recapitulated features of the original parent tumors and inter- as well as intrapatient heterogeneity. High-throughput screenings performed on the organoids highlighted targeted agents such as PI3K/mTOR, EGFR, and JAK2/STAT3 inhibitors among the most effective molecules. Pathway analysis underscored how the NF-B and IGF-1R pathways are sensitive to perturbations and potential targets to pursue for combination therapy of chordoma.",spine,spine,,ok
2608,"Patient-Derived Upper Tract Urothelial Carcinoma Organoids as a Platform for Drug Screening.; drug screening and organoid and tumor heterogeneity and upper tract urothelial carcinoma; Upper tract urothelial carcinomas (UTUCs) are rare entities that are usually diagnosed at advanced stages. Research on UTUC pathobiology and clinical management has been hampered by the lack of models accurately reflecting disease nature and diversity. In this study, a modified organoid culture system is used to generate a library of 25 patient-derived UTUC organoid lines retaining the histological architectures, marker gene expressions, genomic landscapes, and gene expression profiles of their parental tumors. The study demonstrates that the responses of UTUC organoids to anticancer drugs can be identified and the model supports the exploration of novel treatment strategies. This work proposes a modified protocol for generating patient-derived UTUC organoid lines that may help elucidate UTUC pathophysiology and assess the responses of these diseases to various drug therapies in personalized medicine.",urinary,urinary,,ok
2632,"Primary testicular carcinoid tumor with marked lymphovascular invasion; NA; Testicular carcinoid tumors are very rare, accounting for less than 1% of all testicular tumors. We report a rare case of a testicular carcinoid tumor with extensive lymphatic invasion. A 42-year-old man presented with a painless, enlarged right testicular mass. There was no history of injury or discomfort in this region. Right radical orchiectomy was performed, which showed a well-defined, non-encapsulated solid white mass with calcification (7.0 x 4.5 x 3.5 cm) and absence of cystic components. Microscopic examination using hematoxylin and eosin staining of the tumor sections identified organoid, trabecular, and solid patterns with rosette formation. Extensive multifocal lymphatic invasion was observed. Immunohistochemistry was positive for synaptophysin, chromogranin, and CD56. Testicular carcinoid tumors usually show good prognoses; however, there was extensive lymphovascular invasion in this case. Thus, in the case of unusual presentation of the disease, close follow-up is necessary.",testes,testes,,unidentified
2641,"Oviduct epithelial cells constitute two developmentally distinct lineages that are spatially separated along the distal-proximal axis.; HGSOC and Mllerian duct and PAX2 and WT1 and development and fallopian tube and homeostasis and organoids and ovarian cancer and oviduct; Owing to technical advances in single-cell biology, the appreciation of cellular heterogeneity has increased, which has aided our understanding of organ function, homeostasis, and disease progression. The oviduct (also known as the fallopian tube) is the distalmost portion of the female reproductive tract. It is essential for reproduction and the proposed origin of high-grade serous ovarian carcinoma (HGSOC). In mammals, the oviduct is morphologically segmented along the ovary-uterus axis into four evolutionally conserved regions. It is unclear, however, if there is a diversification of epithelial cell characteristics between these regions. In this study, we identify transcriptionally distinct populations of secretory and multiciliated cells restricted to the distal and proximal regions of the oviduct. We demonstrate that distal and proximal populations are distinct lineages specified early in Mllerian duct development and are maintained separately. These results aid our understanding of epithelial development, homeostasis, and initiation of disease from the oviduct.",ovary,ovary,,unidentified
2641,"Oviduct epithelial cells constitute two developmentally distinct lineages that are spatially separated along the distal-proximal axis.; HGSOC and Mllerian duct and PAX2 and WT1 and development and fallopian tube and homeostasis and organoids and ovarian cancer and oviduct; Owing to technical advances in single-cell biology, the appreciation of cellular heterogeneity has increased, which has aided our understanding of organ function, homeostasis, and disease progression. The oviduct (also known as the fallopian tube) is the distalmost portion of the female reproductive tract. It is essential for reproduction and the proposed origin of high-grade serous ovarian carcinoma (HGSOC). In mammals, the oviduct is morphologically segmented along the ovary-uterus axis into four evolutionally conserved regions. It is unclear, however, if there is a diversification of epithelial cell characteristics between these regions. In this study, we identify transcriptionally distinct populations of secretory and multiciliated cells restricted to the distal and proximal regions of the oviduct. We demonstrate that distal and proximal populations are distinct lineages specified early in Mllerian duct development and are maintained separately. These results aid our understanding of epithelial development, homeostasis, and initiation of disease from the oviduct.",ovary,oviduct,,unidentified
2740,"Cellular Origins of EGFR-Driven Lung Cancer Cells Determine Sensitivity to Therapy.; EGFR and alveolar and bronchiolar and lung cancer and organoids; Targeting the epidermal growth factor receptor (EGFR) with tyrosine kinase inhibitors (TKIs) is one of the major precision medicine treatment options for lung adenocarcinoma. Due to common development of drug resistance to first- and second-generation TKIs, third-generation inhibitors, including osimertinib and rociletinib, have been developed. A model of EGFR-driven lung cancer and a method to develop tumors of distinct epigenetic states through 3D organotypic cultures are described here. It is discovered that activation of the EGFR T790M/L858R mutation in lung epithelial cells can drive lung cancers with alveolar or bronchiolar features, which can originate from alveolar type 2 (AT2) cells or bronchioalveolar stem cells, but not basal cells or club cells of the trachea. It is also demonstrated that these clones are able to retain their epigenetic differences through passaging orthotopically in mice and crucially that they have distinct drug vulnerabilities. This work serves as a blueprint for exploring how epigenetics can be used to stratify patients for precision medicine decisions.",lung,alveolus,,lung
2740,"Cellular Origins of EGFR-Driven Lung Cancer Cells Determine Sensitivity to Therapy.; EGFR and alveolar and bronchiolar and lung cancer and organoids; Targeting the epidermal growth factor receptor (EGFR) with tyrosine kinase inhibitors (TKIs) is one of the major precision medicine treatment options for lung adenocarcinoma. Due to common development of drug resistance to first- and second-generation TKIs, third-generation inhibitors, including osimertinib and rociletinib, have been developed. A model of EGFR-driven lung cancer and a method to develop tumors of distinct epigenetic states through 3D organotypic cultures are described here. It is discovered that activation of the EGFR T790M/L858R mutation in lung epithelial cells can drive lung cancers with alveolar or bronchiolar features, which can originate from alveolar type 2 (AT2) cells or bronchioalveolar stem cells, but not basal cells or club cells of the trachea. It is also demonstrated that these clones are able to retain their epigenetic differences through passaging orthotopically in mice and crucially that they have distinct drug vulnerabilities. This work serves as a blueprint for exploring how epigenetics can be used to stratify patients for precision medicine decisions.",lung,bronchiole,,lung
2840,"Human Papilloma Virus 18-Positive Submucosal Small Cell Neuroendocrine Carcinoma of the Vagina: An Immunohistochemical and Genomic Study; NA; Primary vaginal neuroendocrine carcinoma (NEC) is extremely rare among female genital tract tumors. Here, we report 2 cases of vaginal small cell NEC (SCNEC) using immunohistochemistry and next-generation sequencing (NGS) analysis. The 2 patients were in their mid-to-late 70s, presented with abnormal vaginal bleeding and had a vaginal submucosal mass. The biopsied or resected tumors showed a typical neuroendocrine morphology consisting of solid nests of atypical tumor cells, with no specific organoid patterns, and proliferating in the vaginal submucosa. Immunohistochemical analysis showed strong and diffuse expression of chromogranin A, synaptophysin, and p16, but no thyroid transcription factor 1 expression. Additionally, both cases were positive for human papillomavirus (HPV) 18. An NGS-based cancer panel analysis revealed that the tumors carried NF1 and AR mutations, but no major driver mutations were detected. The results of this study suggested that HPV18 infection is linked to vaginal SCNEC.",vagina,,neuroendocrine,unidentified
2840,"Human Papilloma Virus 18-Positive Submucosal Small Cell Neuroendocrine Carcinoma of the Vagina: An Immunohistochemical and Genomic Study; NA; Primary vaginal neuroendocrine carcinoma (NEC) is extremely rare among female genital tract tumors. Here, we report 2 cases of vaginal small cell NEC (SCNEC) using immunohistochemistry and next-generation sequencing (NGS) analysis. The 2 patients were in their mid-to-late 70s, presented with abnormal vaginal bleeding and had a vaginal submucosal mass. The biopsied or resected tumors showed a typical neuroendocrine morphology consisting of solid nests of atypical tumor cells, with no specific organoid patterns, and proliferating in the vaginal submucosa. Immunohistochemical analysis showed strong and diffuse expression of chromogranin A, synaptophysin, and p16, but no thyroid transcription factor 1 expression. Additionally, both cases were positive for human papillomavirus (HPV) 18. An NGS-based cancer panel analysis revealed that the tumors carried NF1 and AR mutations, but no major driver mutations were detected. The results of this study suggested that HPV18 infection is linked to vaginal SCNEC.",vagina,vagina,,unidentified
2904,"Patient-derived organoids for personalized gallbladder cancer modelling and drug screening.; HDAC and drug screening and gallbladder cancer and organoids; BACKGROUND: Gallbladder carcinoma (GBC) is a relatively rare but highly aggressive cancer with late clinical detection and a poor prognosis. However, the lack of models with features consistent with human gallbladder tumours has hindered progress in pathogenic mechanisms and therapies. METHODS: We established organoid lines derived from human GBC as well as normal gallbladder and benign gallbladder adenoma (GBA) tissues. The histopathology signatures of organoid cultures were identified by H&E staining, immunohistochemistry and immunofluorescence. The genetic and transcriptional features of organoids were analysed by whole-exome sequencing and RNA sequencing. A set of compounds targeting the most active signalling pathways in GBCs were screened for their ability to suppress GBC organoids. The antitumour effects of candidate compounds, CUDC-101 and CUDC-907, were evaluated in vitro and in vivo. RESULTS: The established organoids were cultured stably for more than 6 months and closely recapitulated the histopathology, genetic and transcriptional features, and intratumour heterogeneity of the primary tissues at the single-cell level. Notably, expression profiling analysis of the organoids revealed a set of genes that varied across the three subtypes and thus may participate in the malignant progression of gallbladder diseases. More importantly, we found that the dual PI3K/HDAC inhibitor CUDC-907 significantly restrained the growth of various GBC organoids with minimal toxicity to normal gallbladder organoids. CONCLUSIONS: Patient-derived organoids are potentially a useful platform to explore molecular pathogenesis of gallbladder tumours and discover personalized drugs.",gallbladder,gallbladder,,ok
3192,"Patient-derived tumor xenograft and organoid models established from resected pancreatic, duodenal and biliary cancers.; NA; Patient-derived xenograft (PDX) and their xenograft-derived organoid (XDO) models that recapitulate the genotypic and phenotypic landscape of patient cancers could help to advance research and lead to improved clinical management. PDX models were established from 276 pancreato-duodenal and biliary cancer resections. Initial, passage 0 (P0) engraftment rates were 59% (118/199) for pancreatic, 86% (25/29) for duodenal, and 35% (17/48) for biliary ductal tumors. Pancreatic ductal adenocarcinoma (PDAC), had a P0 engraftment rate of 62% (105/169). KRAS mutant and wild-type PDAC models were molecularly profiled, and XDO models were generated to perform initial drug response evaluations. Subsets of PDAC PDX models showed global copy number variants and gene expression profiles that were retained with serial passaging, and they showed a spectrum of somatic mutations represented in patient tumors. PDAC XDO models were established, with a success rate of 71% (10/14). Pathway activation of KRAS-MAPK in PDXs was independent of KRAS mutational status. Four wild-type KRAS models were characterized by one with EGFR (L747-P753 del), two with BRAF alterations (N486_P490del or V600E), and one with triple negative KRAS/EGFR/BRAF. Model OCIP256, characterized by BRAF (N486-P490 del), had activated phospho-ERK. A combination treatment of a pan-RAF inhibitor (LY3009120) and a MEK inhibitor (trametinib) effectively suppressed phospho-ERK and inhibited growth of OCIP256 XDO and PDX models. PDAC/duodenal adenocarcinoma have high success rates forming PDX/organoid and retaining their phenotypic and genotypic features. These models may be effective tools to evaluate novel drug combination therapies.",duodenum,duodenum,,ok
3192,"Patient-derived tumor xenograft and organoid models established from resected pancreatic, duodenal and biliary cancers.; NA; Patient-derived xenograft (PDX) and their xenograft-derived organoid (XDO) models that recapitulate the genotypic and phenotypic landscape of patient cancers could help to advance research and lead to improved clinical management. PDX models were established from 276 pancreato-duodenal and biliary cancer resections. Initial, passage 0 (P0) engraftment rates were 59% (118/199) for pancreatic, 86% (25/29) for duodenal, and 35% (17/48) for biliary ductal tumors. Pancreatic ductal adenocarcinoma (PDAC), had a P0 engraftment rate of 62% (105/169). KRAS mutant and wild-type PDAC models were molecularly profiled, and XDO models were generated to perform initial drug response evaluations. Subsets of PDAC PDX models showed global copy number variants and gene expression profiles that were retained with serial passaging, and they showed a spectrum of somatic mutations represented in patient tumors. PDAC XDO models were established, with a success rate of 71% (10/14). Pathway activation of KRAS-MAPK in PDXs was independent of KRAS mutational status. Four wild-type KRAS models were characterized by one with EGFR (L747-P753 del), two with BRAF alterations (N486_P490del or V600E), and one with triple negative KRAS/EGFR/BRAF. Model OCIP256, characterized by BRAF (N486-P490 del), had activated phospho-ERK. A combination treatment of a pan-RAF inhibitor (LY3009120) and a MEK inhibitor (trametinib) effectively suppressed phospho-ERK and inhibited growth of OCIP256 XDO and PDX models. PDAC/duodenal adenocarcinoma have high success rates forming PDX/organoid and retaining their phenotypic and genotypic features. These models may be effective tools to evaluate novel drug combination therapies.",pancreatic duct,duodenum,,ok
3192,"Patient-derived tumor xenograft and organoid models established from resected pancreatic, duodenal and biliary cancers.; NA; Patient-derived xenograft (PDX) and their xenograft-derived organoid (XDO) models that recapitulate the genotypic and phenotypic landscape of patient cancers could help to advance research and lead to improved clinical management. PDX models were established from 276 pancreato-duodenal and biliary cancer resections. Initial, passage 0 (P0) engraftment rates were 59% (118/199) for pancreatic, 86% (25/29) for duodenal, and 35% (17/48) for biliary ductal tumors. Pancreatic ductal adenocarcinoma (PDAC), had a P0 engraftment rate of 62% (105/169). KRAS mutant and wild-type PDAC models were molecularly profiled, and XDO models were generated to perform initial drug response evaluations. Subsets of PDAC PDX models showed global copy number variants and gene expression profiles that were retained with serial passaging, and they showed a spectrum of somatic mutations represented in patient tumors. PDAC XDO models were established, with a success rate of 71% (10/14). Pathway activation of KRAS-MAPK in PDXs was independent of KRAS mutational status. Four wild-type KRAS models were characterized by one with EGFR (L747-P753 del), two with BRAF alterations (N486_P490del or V600E), and one with triple negative KRAS/EGFR/BRAF. Model OCIP256, characterized by BRAF (N486-P490 del), had activated phospho-ERK. A combination treatment of a pan-RAF inhibitor (LY3009120) and a MEK inhibitor (trametinib) effectively suppressed phospho-ERK and inhibited growth of OCIP256 XDO and PDX models. PDAC/duodenal adenocarcinoma have high success rates forming PDX/organoid and retaining their phenotypic and genotypic features. These models may be effective tools to evaluate novel drug combination therapies.",biliary,duodenum,,ok
